és	e s
is	i s
én	e n
el	æ l
magyar	m á ɡ j à r
itt	i t
mi	m i
es	e s
fel	f æ l
te	t e
több	t ø b
mit	m i t
le	l e
között	k ø z ø t
ott	o t
se	s e
kicsit	k í t͡ʃ s i t
inkább	ì n k á b
együtt	e ɡ j y t
valamint	v a l a m i n t
másik	m áː s i k
talán	t a l á n
este	e s t e
mind	m î n d
fontos	f ó n t o s
of	o f
in	i n
os	o s
legalább	l e ɡ a l á b
film	f i l m
egyetlen	e ɡ j e t l e n
tud	t uː d
mintha	m í n tʰ àː
történt	t ø r t e n t
közül	k ø z y l
öt	ø t
ön	ø n
közel	k ø z e l
ért	e r t
et	e t
hét	h e t
hat	h a t
nak	n a k
ti	t i
tökéletes	t ø k e l e t e s
évek	e v e k
ment	m ɛ n t
közös	k ø z ø s
egyedül	e ɡ j e d y l
körül	k ø r y l
ok	o k
lehetett	l e h e t e t
kapcsolatban	k a p t͡ʃ s o l a t b a n
él	e l
kaptam	k a p t a m
alkalommal	a l k a l o m m a l
egyetem	e ɡ j e t e m
kor	k o r
köszi	k ø s z i
lehetne	l e h e t n e
sor	s o r
külön	k y l ø n
no	n o
ot	o t
probléma	p r o b l eː m a
tartott	t a r t o t
kap	k a p
örülök	ø r y l ø k
különösen	k y l ø n ø s e n
miközben	m i k ø z b e n
mögött	m ø ɡ ø t
dal	d a l
hozott	h o z o t
nyílt	ɲ i l t
külföldi	k y l f ø l d i
biztonsági	b i z t o n s áː ɡ i
la	l a
tudományos	t u d o m áː ɲ o s
melynek	m e l y n e k
pontos	p ó n t o s
vörös	ʋ ø r ø s
ötlet	ø t l e t
esett	e s e t
ös	ø s
tóth	t óː t
török	t ø r ø k
egyesület	e ɡ j e s y l e t
kutya	k ú t j áː
közt	k ø z t
hihetetlen	h i h e t e t l e n
vel	ʋ æ l
at	a t
igazság	i ɡ á z s áː ɡ
nézz	n e z
halt	h a l t
világot	ʋ i l áː ɡ o t
cikk	t͡ʃ i k
